"time","Failed","Timed Out","Successful"
1572217200000,0,0,0
1572220800000,0,0,0
1572224400000,0,0,0
1572228000000,0,0,0
1572231600000,0,0,0
1572235200000,0,0,0
1572238800000,0,0,1
1572242400000,0,0,3
1572246000000,0,0,1
1572249600000,0,0,1
1572253200000,0,0,0
1572256800000,0,0,0
1572260400000,0,0,0
1572264000000,0,0,0
1572267600000,0,0,0
1572271200000,0,0,0
1572274800000,0,0,0
1572278400000,0,0,0
1572282000000,0,0,0
1572285600000,0,0,0
1572289200000,0,0,0
1572292800000,0,0,0
1572296400000,0,0,0
  
